
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Pressure: 9am only
Station,Date(NZST),Pmsl(hPa),Pstn(hPa),tend,amt(hPa),a24(hPa)
Auckland Aero,20030810:0900,1013.0,-,2,0.4,-
Auckland Aero,20030811:0900,1008.3,-,2,1.3,-
Auckland Aero,20030812:0900,1012.3,-,2,1.2,-
Auckland Aero,20030813:0900,1017.5,-,2,1.6,-
Auckland Aero,20030814:0900,1021.0,-,2,1.5,-
Auckland Aero,20030815:0900,1013.2,-,7,0.3,-
Auckland Aero,20030816:0900,1012.4,-,2,1.8,-
Auckland Aero,20030817:0900,1016.2,-,2,1.5,-
Auckland Aero,20030818:0900,1017.3,-,-,-,-
Auckland Aero,20030819:0900,1015.2,-,-,-,-
Auckland Aero,20030820:0900,1004.7,-,-,-,-
Auckland Aero,20030821:0900,990.7,-,2,6.3,-
Auckland Aero,20030822:0900,998.3,-,-,-,-
Auckland Aero,20030823:0900,1003.3,-,2,1.2,-
Auckland Aero,20030824:0900,1018.8,-,2,3.3,-
Auckland Aero,20030825:0900,1023.3,-,-,-,-
Auckland Aero,20030826:0900,1022.0,-,-,-,-
Auckland Aero,20030827:0900,1013.2,-,-,-,-
Auckland Aero,20030828:0900,1012.2,-,-,-,-
Auckland Aero,20030829:0900,1014.8,-,-,-,-
Auckland Aero,20030830:0900,1020.1,-,2,1.8,-
Auckland Aero,20030831:0900,1021.4,-,2,0.7,-
Auckland Aero,20030901:0900,1016.8,-,7,0.2,-
Auckland Aero,20030902:0900,1001.0,-,-,-,-
Auckland Aero,20030903:0900,1007.2,-,2,2.0,-
Auckland Aero,20030904:0900,1001.3,-,-,-,-
Auckland Aero,20030905:0900,997.2,-,7,0.1,-
Auckland Aero,20030906:0900,1004.5,-,2,2.3,-
Auckland Aero,20030907:0900,1006.7,-,2,0.9,-
Auckland Aero,20030908:0900,1004.3,-,-,-,-
Auckland Aero,20030909:0900,997.5,-,2,0.8,-
Auckland Aero,20030910:0900,1004.6,-,2,2.1,-
Auckland Aero,20030911:0900,1010.4,-,-,-,-
Auckland Aero,20030912:0900,1016.9,-,-,-,-
Auckland Aero,20030913:0900,1017.1,-,2,0.5,-
Auckland Aero,20030914:0900,1005.1,-,2,0.9,-
Auckland Aero,20030915:0900,1005.9,-,-,-,-
Auckland Aero,20030916:0900,1003.3,-,2,1.5,-
Auckland Aero,20030917:0900,996.2,-,-,-,-
Auckland Aero,20030918:0900,1007.1,-,-,-,-
Auckland Aero,20030919:0900,1016.5,-,-,-,-
Auckland Aero,20030920:0900,1017.1,-,7,0.2,-
Auckland Aero,20030921:0900,1006.8,-,2,0.1,-
Auckland Aero,20030922:0900,1011.0,-,2,1.3,-
Auckland Aero,20030923:0900,1011.1,-,-,-,-
Auckland Aero,20030924:0900,1011.2,-,-,-,-
Auckland Aero,20030925:0900,1011.1,-,-,-,-
Auckland Aero,20030926:0900,1014.7,-,2,0.5,-
Auckland Aero,20030927:0900,1014.2,-,2,0.6,-
Auckland Aero,20030928:0900,1005.9,-,7,1.3,-
Auckland Aero,20030929:0900,1003.0,-,-,-,-
Auckland Aero,20030930:0900,1010.2,-,-,-,-
Auckland Aero,20031001:0900,1003.3,-,2,2.2,-
Auckland Aero,20031002:0900,1013.3,-,2,1.1,-
Auckland Aero,20031003:0900,1008.0,-,7,2.1,-
Auckland Aero,20031004:0900,998.7,-,2,2.7,-
Auckland Aero,20031005:0800,1008.1,-,2,0.6,-
Auckland Aero,20031006:0800,1024.2,-,2,3.0,-
Auckland Aero,20031007:0800,1029.6,-,2,1.0,-
Auckland Aero,20031008:0800,1026.8,-,-,-,-
Auckland Aero,20031009:0800,1018.3,-,-,-,-
Auckland Aero,20031010:0800,1016.3,-,-,-,-
Auckland Aero,20031011:0800,1018.5,-,2,0.8,-
Auckland Aero,20031012:0800,1003.3,-,7,2.7,-
Auckland Aero,20031013:0800,1001.1,-,2,0.3,-
Auckland Aero,20031014:0800,1010.9,-,2,3.7,-
Auckland Aero,20031015:0800,1021.7,-,2,1.5,-
Auckland Aero,20031016:0800,1023.0,-,2,1.1,-
Auckland Aero,20031017:0800,1025.0,-,2,1.3,-
Auckland Aero,20031018:0800,1028.4,-,2,1.3,-
Auckland Aero,20031019:0800,1028.5,-,2,0.8,-
Auckland Aero,20031020:0800,1026.4,-,2,1.1,-
