Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Auckland, Sky Tower,20220108:1000,314,0.9,13.1,0.5,1,H
Auckland, Sky Tower,20220108:1100,314,1.4,25.1,0.6,1,H
Auckland, Sky Tower,20220108:1200,26,2.4,35.1,1.1,1,H
Auckland, Sky Tower,20220108:1300,34,2.6,16.4,0.7,1,H
Auckland, Sky Tower,20220108:1400,23,2.0,26.2,1.0,1,H
Auckland, Sky Tower,20220108:1500,336,2.1,34.8,0.4,1,H
Auckland, Sky Tower,20220108:1600,261,2.1,34.5,0.7,1,H
Auckland, Sky Tower,20220108:1700,202,2.4,49.4,1.5,1,H
Auckland, Sky Tower,20220108:1800,197,3.3,41.9,1.5,1,H
Auckland, Sky Tower,20220108:1900,200,4.6,12.9,1.0,1,H
Auckland, Sky Tower,20220108:2000,203,4.1,5.9,0.5,1,H
Auckland, Sky Tower,20220108:2100,225,3.7,12.2,0.7,1,H
Auckland, Sky Tower,20220108:2200,225,2.6,10.7,0.3,1,H
Auckland, Sky Tower,20220108:2300,204,3.3,5.9,0.7,1,H
Auckland, Sky Tower,20220109:0000,218,3.6,7.1,0.3,1,H
Auckland, Sky Tower,20220109:0100,240,2.7,6.6,0.5,1,H
Auckland, Sky Tower,20220109:0200,249,4.0,3.2,0.5,1,H
Auckland, Sky Tower,20220109:0300,242,4.7,1.9,0.4,1,H
Auckland, Sky Tower,20220109:0400,244,6.1,2.1,0.4,1,H
Auckland, Sky Tower,20220109:0500,243,5.8,2.3,0.3,1,H
Auckland, Sky Tower,20220109:0600,244,5.0,3.6,0.3,1,H
Auckland, Sky Tower,20220109:0700,254,4.6,3.3,0.3,1,H
Auckland, Sky Tower,20220109:0800,242,4.7,6.3,0.7,1,H
Auckland, Sky Tower,20220109:0900,248,4.0,13.4,1.2,1,H
Auckland, Sky Tower,20220109:1000,259,3.6,16.5,1.1,1,H
Auckland, Sky Tower,20220109:1100,268,4.6,16.4,0.9,1,H
Auckland, Sky Tower,20220109:1200,273,5.1,16.0,1.2,1,H
Auckland, Sky Tower,20220109:1300,262,6.5,9.8,1.0,1,H
Auckland, Sky Tower,20220109:1400,256,7.2,8.2,0.8,1,H
Auckland, Sky Tower,20220109:1500,254,7.5,5.6,0.7,1,H
Auckland, Sky Tower,20220109:1600,254,7.1,11.0,1.0,1,H
Auckland, Sky Tower,20220109:1700,236,7.0,16.0,0.9,1,H
Auckland, Sky Tower,20220109:1800,208,8.5,7.4,1.2,1,H
Auckland, Sky Tower,20220109:1900,209,7.2,6.8,1.0,1,H
Auckland, Sky Tower,20220109:2000,219,5.3,9.3,0.7,1,H
Auckland, Sky Tower,20220109:2100,238,4.3,7.2,0.6,1,H
Auckland, Sky Tower,20220109:2200,235,4.2,8.0,0.4,1,H
Auckland, Sky Tower,20220109:2300,244,3.4,4.2,0.3,1,H
Auckland, Sky Tower,20220110:0000,241,3.2,4.8,0.2,1,H
Auckland, Sky Tower,20220110:0100,247,4.0,3.4,0.4,1,H
Auckland, Sky Tower,20220110:0200,255,4.7,4.6,0.4,1,H
Auckland, Sky Tower,20220110:0300,258,4.7,1.7,0.3,1,H
Auckland, Sky Tower,20220110:0400,252,5.6,2.5,0.6,1,H
Auckland, Sky Tower,20220110:0500,255,6.2,1.7,0.3,1,H
Auckland, Sky Tower,20220110:0600,254,6.5,3.2,0.7,1,H
Auckland, Sky Tower,20220110:0700,250,6.0,4.5,0.7,1,H
Auckland, Sky Tower,20220110:0800,253,6.5,3.6,0.7,1,H
Auckland, Sky Tower,20220110:0900,249,5.0,11.6,0.8,1,H
Auckland, Sky Tower,20220110:1000,244,4.8,13.2,1.1,1,H
Auckland, Sky Tower,20220110:1100,236,6.0,12.3,0.9,1,H
Auckland, Sky Tower,20220110:1200,250,5.7,13.6,0.9,1,H
Auckland, Sky Tower,20220110:1300,255,6.7,11.3,1.0,1,H
Auckland, Sky Tower,20220110:1400,261,5.9,18.3,1.6,1,H
Auckland, Sky Tower,20220110:1500,230,6.0,29.1,1.3,1,H
Auckland, Sky Tower,20220110:1600,241,6.3,22.6,1.0,1,H
Auckland, Sky Tower,20220110:1700,215,7.1,13.7,1.1,1,H
