Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20131031:0800,19.0,24,13.5,24,10.2,24,16.3,-,24,D
Auckland Aero,20131101:0800,21.9,24,13.6,24,11.5,24,17.8,-,24,D
Auckland Aero,20131102:0800,19.3,24,11.2,24,9.4,24,15.3,-,24,D
Auckland Aero,20131103:0800,17.5,24,11.3,24,8.8,24,14.4,-,24,D
Auckland Aero,20131104:0800,18.6,24,10.0,24,7.1,24,14.3,-,24,D
Auckland Aero,20131105:0800,20.5,24,12.1,24,8.5,24,16.3,-,24,D
Auckland Aero,20131106:0800,19.8,24,12.0,24,8.8,24,15.9,-,24,D
Auckland Aero,20131107:0800,19.4,24,11.1,24,8.9,24,15.3,-,24,D
Auckland Aero,20131108:0800,19.3,24,10.9,24,8.2,24,15.1,-,24,D
Auckland Aero,20131109:0800,19.3,24,14.6,24,12.3,24,17.0,-,24,D
Auckland Aero,20131110:0800,18.9,24,15.4,24,14.4,24,17.2,-,24,D
Auckland Aero,20131111:0800,19.1,24,14.7,24,13.1,24,16.9,-,24,D
Auckland Aero,20131112:0800,19.7,24,14.1,24,11.3,24,16.9,-,24,D
Auckland Aero,20131113:0800,21.9,24,10.4,24,7.0,24,16.2,-,24,D
Auckland Aero,20131114:0800,20.6,24,9.6,24,5.7,24,15.1,-,24,D
Auckland Aero,20131115:0800,19.9,24,9.7,24,5.5,24,14.8,-,24,D
Auckland Aero,20131116:0800,20.3,24,11.8,24,9.2,24,16.1,-,24,D
Auckland Aero,20131117:0800,21.3,24,14.4,24,11.4,24,17.9,-,24,D
Auckland Aero,20131118:0800,22.1,24,14.2,24,9.6,24,18.2,-,24,D
Auckland Aero,20131119:0800,23.1,24,15.6,24,13.1,24,19.4,-,24,D
Auckland Aero,20131120:0800,24.8,24,14.0,24,10.2,24,19.4,-,24,D
Auckland Aero,20131121:0800,22.9,24,15.1,24,11.9,24,19.0,-,24,D
Auckland Aero,20131122:0800,24.0,24,12.5,24,9.2,24,18.3,-,24,D
Auckland Aero,20131123:0800,25.1,24,13.8,24,10.3,24,19.5,-,24,D
Auckland Aero,20131124:0800,25.6,24,15.9,24,12.7,24,20.8,-,24,D
Auckland Aero,20131125:0800,23.2,24,15.1,24,13.1,24,19.2,-,24,D
Auckland Aero,20131126:0800,23.9,24,17.8,24,16.5,24,20.9,-,24,D
Auckland Aero,20131127:0800,25.9,24,16.1,24,13.1,24,21.0,-,24,D
Auckland Aero,20131128:0800,23.9,24,15.8,24,15.5,24,19.9,-,24,D
Auckland Aero,20131129:0800,-,-,15.5,24,14.6,24,-,-,-,D
Auckland Aero,20131130:0800,22.2,24,16.9,24,14.7,24,19.6,-,24,D
Auckland Aero,20131201:0800,25.5,24,15.4,24,14.3,24,20.5,-,24,D
Auckland Aero,20131202:0800,19.9,24,11.3,24,7.8,24,15.6,-,24,D
Auckland Aero,20131203:0800,23.1,24,13.6,24,11.5,24,18.4,-,24,D
Auckland Aero,20131204:0800,21.7,24,16.9,24,16.9,24,19.3,-,24,D
Auckland Aero,20131205:0800,19.8,24,17.4,24,17.2,24,18.6,-,24,D
Auckland Aero,20131206:0800,22.8,24,16.4,24,15.2,24,19.6,-,24,D
Auckland Aero,20131207:0800,23.9,24,15.7,24,14.5,24,19.8,-,24,D
Auckland Aero,20131208:0800,22.3,24,14.0,24,12.8,24,18.2,-,24,D
Auckland Aero,20131209:0800,21.5,24,14.4,24,13.3,24,18.0,-,24,D
Auckland Aero,20131210:0800,21.4,24,14.5,24,12.4,24,18.0,-,24,D
Auckland Aero,20131211:0800,20.4,24,14.1,24,11.5,24,17.3,-,24,D
Auckland Aero,20131212:0800,20.2,24,12.9,24,9.7,24,16.6,-,24,D
Auckland Aero,20131213:0800,22.7,24,15.2,24,13.5,24,19.0,-,24,D
Auckland Aero,20131214:0800,24.9,24,14.3,24,11.5,24,19.6,-,24,D
Auckland Aero,20131215:0800,25.5,24,15.8,24,12.1,24,20.7,-,24,D
Auckland Aero,20131216:0800,24.9,24,14.9,24,11.9,24,19.9,-,24,D
Auckland Aero,20131217:0800,25.0,24,16.5,24,14.1,24,20.8,-,24,D
Auckland Aero,20131218:0800,23.6,24,16.5,24,14.9,24,20.1,-,24,D
Auckland Aero,20131219:0800,21.7,24,15.3,24,14.4,24,18.5,-,24,D
Auckland Aero,20131220:0800,21.4,24,12.6,24,9.9,24,17.0,-,24,D
Auckland Aero,20131221:0800,22.6,24,14.3,24,10.7,24,18.5,-,24,D
Auckland Aero,20131222:0800,21.5,24,16.6,24,14.9,24,19.1,-,24,D
Auckland Aero,20131223:0800,21.0,24,14.0,24,11.7,24,17.5,-,24,D
Auckland Aero,20131224:0800,21.9,24,15.1,24,13.0,24,18.5,-,24,D
Auckland Aero,20131225:0800,22.4,24,16.2,24,16.3,24,19.3,-,24,D
Auckland Aero,20131226:0800,20.6,24,14.6,24,12.7,24,17.6,-,24,D
Auckland Aero,20131227:0800,21.2,24,13.5,24,11.7,24,17.4,-,24,D
Auckland Aero,20131228:0800,22.8,24,14.3,24,12.4,24,18.6,-,24,D
Auckland Aero,20131229:0800,22.6,24,16.0,24,16.2,24,19.3,-,24,D
Auckland Aero,20131230:0800,23.7,24,15.1,24,13.7,24,19.4,-,24,D
Auckland Aero,20131231:0800,23.8,24,15.4,24,12.6,24,19.6,-,24,D
Auckland Aero,20140101:0800,21.2,24,11.1,24,9.3,24,16.2,-,24,D
Auckland Aero,20140102:0800,24.0,24,15.7,24,14.1,24,19.9,-,24,D
Auckland Aero,20140103:0800,22.7,24,14.8,24,12.9,24,18.8,-,24,D
Auckland Aero,20140104:0800,26.3,24,18.5,24,17.7,24,22.4,-,24,D
Auckland Aero,20140105:0800,26.2,24,18.8,24,18.4,24,22.5,-,24,D
Auckland Aero,20140106:0800,24.2,24,16.7,24,14.6,24,20.5,-,24,D
Auckland Aero,20140107:0800,22.2,24,11.7,24,9.3,24,17.0,-,24,D
Auckland Aero,20140108:0800,25.2,24,17.2,24,15.3,24,21.2,-,24,D
Auckland Aero,20140109:0800,23.7,24,14.8,24,12.3,24,19.3,-,24,D
Auckland Aero,20140110:0800,20.4,24,12.2,24,9.0,24,16.3,-,24,D
Auckland Aero,20140111:0800,21.9,24,14.6,24,11.2,24,18.3,-,24,D
Auckland Aero,20140112:0800,22.1,24,15.3,24,13.5,24,18.7,-,24,D
Auckland Aero,20140113:0800,22.1,24,16.8,24,14.4,24,19.5,-,24,D
Auckland Aero,20140114:0800,24.3,24,16.4,24,14.5,24,20.4,-,24,D
Auckland Aero,20140115:0800,21.4,24,14.4,24,10.4,24,17.9,-,24,D
Auckland Aero,20140116:0800,22.4,24,15.5,24,12.0,24,19.0,-,24,D
Auckland Aero,20140117:0800,21.1,24,17.5,24,15.8,24,19.3,-,24,D
Auckland Aero,20140118:0800,21.3,24,15.2,24,12.9,24,18.3,-,24,D
Auckland Aero,20140119:0800,21.5,24,11.3,24,8.3,24,16.4,-,24,D
Auckland Aero,20140120:0800,23.7,24,16.7,24,14.9,24,20.2,-,24,D
Auckland Aero,20140121:0800,22.3,24,17.8,24,17.6,24,20.1,-,24,D
Auckland Aero,20140122:0800,21.5,24,17.4,24,15.5,24,19.5,-,24,D
Auckland Aero,20140123:0800,25.5,24,16.7,24,15.3,24,21.1,-,24,D
Auckland Aero,20140124:0800,21.7,24,16.3,24,13.5,24,19.0,-,24,D
Auckland Aero,20140125:0800,22.5,24,13.1,24,8.6,24,17.8,-,24,D
Auckland Aero,20140126:0800,25.5,24,17.4,24,15.6,24,21.5,-,24,D
Auckland Aero,20140127:0800,23.7,24,14.9,24,12.0,24,19.3,-,24,D
Auckland Aero,20140128:0800,20.2,24,12.2,24,9.9,24,16.2,-,24,D
Auckland Aero,20140129:0800,20.7,24,11.7,24,7.9,24,16.2,-,24,D
Auckland Aero,20140130:0800,22.5,24,15.7,24,14.9,24,19.1,-,24,D
Auckland Aero,20140131:0800,22.2,24,13.7,24,10.6,24,18.0,-,24,D
Auckland Aero,20140201:0800,25.3,24,14.1,24,11.3,24,19.7,-,24,D
Auckland Aero,20140202:0800,23.8,24,14.5,24,10.8,24,19.2,-,24,D
Auckland Aero,20140203:0800,26.6,24,14.4,24,10.8,24,20.5,-,24,D
Auckland Aero,20140204:0800,25.2,24,15.3,24,12.1,24,20.3,-,24,D
Auckland Aero,20140205:0800,23.5,24,17.3,24,15.6,24,20.4,-,24,D
Auckland Aero,20140206:0800,24.9,24,17.7,24,15.9,24,21.3,-,24,D
Auckland Aero,20140207:0800,24.9,24,18.6,24,17.5,24,21.8,-,24,D
Auckland Aero,20140208:0800,24.3,24,19.3,24,18.9,24,21.8,-,24,D
Auckland Aero,20140209:0800,23.7,24,18.6,24,17.8,24,21.2,-,24,D
Auckland Aero,20140210:0800,25.0,24,17.9,24,15.0,24,21.5,-,24,D
Auckland Aero,20140211:0800,23.8,24,17.5,24,16.9,24,20.7,-,24,D
Auckland Aero,20140212:0800,23.1,24,13.8,24,11.1,24,18.5,-,24,D
Auckland Aero,20140213:0800,22.7,24,16.9,24,15.2,24,19.8,-,24,D
Auckland Aero,20140214:0800,22.8,24,15.9,24,14.2,24,19.4,-,24,D
Auckland Aero,20140215:0800,22.7,24,14.3,24,10.3,24,18.5,-,24,D
Auckland Aero,20140216:0800,23.1,24,13.5,24,8.9,24,18.3,-,24,D
Auckland Aero,20140217:0800,27.0,24,15.3,24,13.3,24,21.2,-,24,D
Auckland Aero,20140218:0800,26.7,24,18.6,24,15.3,24,22.7,-,24,D
Auckland Aero,20140219:0800,28.0,24,18.5,24,15.8,24,23.3,-,24,D
Auckland Aero,20140220:0800,25.6,24,17.9,24,15.8,24,21.8,-,24,D
Auckland Aero,20140221:0800,25.6,24,17.9,24,14.5,24,21.8,-,24,D
Auckland Aero,20140222:0800,27.9,24,19.7,24,18.2,24,23.8,-,24,D
Auckland Aero,20140223:0800,24.8,24,18.0,24,16.9,24,21.4,-,24,D
Auckland Aero,20140224:0800,23.5,24,13.4,24,11.0,24,18.5,-,24,D
Auckland Aero,20140225:0800,22.5,24,13.1,24,9.1,24,17.8,-,24,D
Auckland Aero,20140226:0800,22.8,24,13.0,24,8.3,24,17.9,-,24,D
Auckland Aero,20140227:0800,25.4,24,15.7,24,13.2,24,20.6,-,24,D
Auckland Aero,20140228:0800,25.6,24,14.2,24,10.7,24,19.9,-,24,D
Auckland Aero,20140301:0800,24.6,24,15.5,24,13.5,24,20.1,-,24,D
Auckland Aero,20140302:0800,20.9,24,13.8,24,11.7,24,17.4,-,24,D
Auckland Aero,20140303:0800,22.0,24,13.8,24,12.3,24,17.9,-,24,D
Auckland Aero,20140304:0800,22.6,24,12.3,24,9.6,24,17.5,-,24,D
Auckland Aero,20140305:0800,20.4,24,15.1,24,13.9,24,17.8,-,24,D
Auckland Aero,20140306:0800,20.4,24,12.0,24,8.4,24,16.2,-,24,D
Auckland Aero,20140307:0800,21.9,24,11.4,24,6.9,24,16.7,-,24,D
Auckland Aero,20140308:0800,22.9,24,11.7,24,7.1,24,17.3,-,24,D
Auckland Aero,20140309:0800,23.0,24,14.7,24,13.2,24,18.9,-,24,D
Auckland Aero,20140310:0800,23.1,24,12.9,24,8.7,24,18.0,-,24,D
Auckland Aero,20140311:0800,25.2,24,13.5,24,9.9,24,19.4,-,24,D
Auckland Aero,20140312:0800,24.0,24,15.4,24,12.9,24,19.7,-,24,D
Auckland Aero,20140313:0800,23.4,24,12.7,24,9.6,24,18.1,-,24,D
Auckland Aero,20140314:0800,24.9,24,13.5,24,10.3,24,19.2,-,24,D
Auckland Aero,20140315:0800,23.2,24,16.1,24,17.2,24,19.7,-,24,D
Auckland Aero,20140316:0800,22.7,24,19.2,24,18.9,24,21.0,-,24,D
Auckland Aero,20140317:0800,24.6,24,16.3,24,13.4,24,20.5,-,24,D
Auckland Aero,20140318:0800,24.0,24,14.9,24,12.3,24,19.5,-,24,D
Auckland Aero,20140319:0800,24.6,24,17.1,24,16.6,24,20.9,-,24,D
Auckland Aero,20140320:0800,22.9,24,12.1,24,8.5,24,17.5,-,24,D
Auckland Aero,20140321:0800,22.2,24,14.9,24,11.3,24,18.6,-,24,D
Auckland Aero,20140322:0800,25.5,24,13.1,24,11.2,24,19.3,-,24,D
Auckland Aero,20140323:0800,23.2,24,13.7,24,8.8,24,18.5,-,24,D
Auckland Aero,20140324:0800,23.5,24,12.8,24,9.3,24,18.2,-,24,D
Auckland Aero,20140325:0800,24.2,24,12.9,24,10.1,24,18.6,-,24,D
Auckland Aero,20140326:0800,21.9,24,16.4,24,15.2,24,19.2,-,24,D
Auckland Aero,20140327:0800,20.4,24,15.0,24,12.8,24,17.7,-,24,D
Auckland Aero,20140328:0800,21.3,24,12.0,24,7.6,24,16.7,-,24,D
Auckland Aero,20140329:0800,22.4,24,13.8,24,8.8,24,18.1,-,24,D
Auckland Aero,20140330:0800,21.8,24,11.4,24,7.5,24,16.6,-,24,D
Auckland Aero,20140331:0800,23.0,24,12.5,24,8.4,24,17.8,-,24,D
Auckland Aero,20140401:0800,24.5,24,11.4,24,6.1,24,18.0,-,24,D
Auckland Aero,20140402:0800,23.7,24,12.8,24,10.4,24,18.3,-,24,D
Auckland Aero,20140403:0800,24.0,24,13.4,24,9.1,24,18.7,-,24,D
Auckland Aero,20140404:0800,21.6,24,13.7,24,9.8,24,17.7,-,24,D
Auckland Aero,20140405:0800,22.0,24,13.8,24,11.7,24,17.9,-,24,D
Auckland Aero,20140406:0900,21.8,24,15.6,24,14.1,24,18.7,-,24,D
Auckland Aero,20140407:0900,22.5,24,14.9,24,12.3,24,18.7,-,24,D
Auckland Aero,20140408:0900,23.0,24,16.8,24,14.3,24,19.9,-,24,D
Auckland Aero,20140409:0900,22.6,24,18.1,24,16.8,24,20.4,-,24,D
Auckland Aero,20140410:0900,23.1,24,15.7,24,12.9,24,19.4,-,24,D
Auckland Aero,20140411:0900,24.2,24,16.4,24,13.7,24,20.3,-,24,D
Auckland Aero,20140412:0900,23.0,24,14.6,24,12.0,24,18.8,-,24,D
Auckland Aero,20140413:0900,22.3,24,11.4,24,7.4,24,16.9,-,24,D
Auckland Aero,20140414:0900,23.2,24,16.0,24,15.5,24,19.6,-,24,D
Auckland Aero,20140415:0900,22.2,24,18.1,24,16.8,24,20.2,-,24,D
Auckland Aero,20140416:0900,22.2,24,18.4,24,17.5,24,20.3,-,24,D
Auckland Aero,20140417:0900,22.0,24,17.0,24,16.0,24,19.5,-,24,D
Auckland Aero,20140418:0900,24.0,24,18.7,24,17.0,24,21.4,-,24,D
Auckland Aero,20140419:0900,24.1,24,17.1,24,15.5,24,20.6,-,24,D
Auckland Aero,20140420:0900,22.9,24,14.7,24,12.7,24,18.8,-,24,D
Auckland Aero,20140421:0900,19.9,24,14.5,24,12.2,24,17.2,-,24,D
Auckland Aero,20140422:0900,20.0,24,14.6,24,13.1,24,17.3,-,24,D
Auckland Aero,20140423:0900,20.0,24,11.4,24,8.5,24,15.7,-,24,D
Auckland Aero,20140424:0900,19.5,24,9.4,24,6.9,24,14.5,-,24,D
Auckland Aero,20140425:0900,21.8,24,13.4,24,10.7,24,17.6,-,24,D
Auckland Aero,20140426:0900,21.7,24,14.4,24,12.1,24,18.1,-,24,D
Auckland Aero,20140427:0900,19.1,24,8.3,24,5.3,24,13.7,-,24,D
Auckland Aero,20140428:0900,19.6,24,13.4,24,12.2,24,16.5,-,24,D
Auckland Aero,20140429:0900,18.2,24,11.5,24,9.2,24,14.9,-,24,D
Auckland Aero,20140430:0900,18.3,24,9.2,24,6.5,24,13.8,-,24,D
Auckland Aero,20140501:0900,17.4,24,7.1,24,4.4,24,12.3,-,24,D
Auckland Aero,20140502:0900,18.6,24,7.8,24,5.3,24,13.2,-,24,D
Auckland Aero,20140503:0900,17.8,24,8.7,24,6.3,24,13.3,-,24,D
Auckland Aero,20140504:0900,20.6,24,9.9,24,7.0,24,15.3,-,24,D
Auckland Aero,20140505:0900,20.9,24,13.2,24,11.0,24,17.1,-,24,D
Auckland Aero,20140506:0900,19.3,24,14.5,24,12.1,24,16.9,-,24,D
Auckland Aero,20140507:0900,21.0,24,13.7,24,11.7,24,17.4,-,24,D
Auckland Aero,20140508:0900,21.0,24,14.1,24,13.2,24,17.6,-,24,D
Auckland Aero,20140509:0900,20.1,24,11.7,24,9.7,24,15.9,-,24,D
Auckland Aero,20140510:0900,19.1,24,10.7,24,8.2,24,14.9,-,24,D
Auckland Aero,20140511:0900,18.1,24,7.4,24,5.0,24,12.8,-,24,D
Auckland Aero,20140512:0900,18.1,24,9.2,24,7.4,24,13.7,-,24,D
Auckland Aero,20140513:0900,19.2,24,10.4,24,8.7,24,14.8,-,24,D
Auckland Aero,20140514:0900,18.6,24,11.6,24,10.2,24,15.1,-,24,D
Auckland Aero,20140515:0900,16.6,24,9.7,24,9.7,24,13.2,-,24,D
Auckland Aero,20140516:0900,17.0,24,6.9,24,2.2,24,12.0,-,24,D
Auckland Aero,20140517:0900,16.0,24,5.6,24,1.7,24,10.8,-,24,D
Auckland Aero,20140518:0900,17.6,24,8.5,24,4.1,24,13.1,-,24,D
Auckland Aero,20140519:0900,17.3,24,9.7,24,6.2,24,13.5,-,24,D
Auckland Aero,20140520:0900,18.7,24,8.6,24,5.7,24,13.7,-,24,D
Auckland Aero,20140521:0900,18.3,24,10.0,24,7.6,24,14.2,-,24,D
Auckland Aero,20140522:0900,19.0,24,12.9,24,9.4,24,16.0,-,24,D
Auckland Aero,20140523:0900,17.8,24,12.8,24,10.5,24,15.3,-,24,D
Auckland Aero,20140524:0900,18.1,24,14.1,24,13.2,24,16.1,-,24,D
Auckland Aero,20140525:0900,20.3,24,14.8,24,13.6,24,17.6,-,24,D
Auckland Aero,20140526:0900,18.9,24,13.4,24,11.8,24,16.2,-,24,D
Auckland Aero,20140527:0900,15.1,24,3.9,24,-1.0,24,9.5,-,24,D
Auckland Aero,20140528:0900,12.3,24,0.9,24,-3.2,24,6.6,-,24,D
Auckland Aero,20140529:0900,13.4,24,5.0,24,0.8,24,9.2,-,24,D
Auckland Aero,20140530:0900,16.0,24,11.9,24,11.6,24,14.0,-,24,D
Auckland Aero,20140531:0900,17.2,24,9.1,24,6.2,24,13.2,-,24,D
Auckland Aero,20140601:0900,15.5,24,6.0,24,2.6,24,10.8,-,24,D
Auckland Aero,20140602:0900,15.2,24,8.1,24,6.6,24,11.7,-,24,D
Auckland Aero,20140603:0900,14.7,24,8.9,24,5.5,24,11.8,-,24,D
Auckland Aero,20140604:0900,17.6,24,8.7,24,3.7,24,13.2,-,24,D
Auckland Aero,20140605:0900,18.0,24,7.3,24,3.1,24,12.7,-,24,D
Auckland Aero,20140606:0900,15.9,24,7.5,24,4.1,24,11.7,-,24,D
Auckland Aero,20140607:0900,17.9,24,9.3,24,4.7,24,13.6,-,24,D
Auckland Aero,20140608:0900,18.3,24,8.8,24,3.9,24,13.6,-,24,D
Auckland Aero,20140609:0900,19.2,24,14.2,24,14.0,24,16.7,-,24,D
Auckland Aero,20140610:0900,18.3,24,13.9,24,13.2,24,16.1,-,24,D
Auckland Aero,20140611:0900,14.5,24,11.1,24,9.7,24,12.8,-,24,D
Auckland Aero,20140612:0900,18.8,24,10.0,24,6.1,24,14.4,-,24,D
Auckland Aero,20140613:0900,16.9,24,9.8,24,7.1,24,13.4,-,24,D
Auckland Aero,20140614:0900,16.4,24,5.1,24,2.1,24,10.8,-,24,D
Auckland Aero,20140615:0900,15.8,24,5.0,24,1.9,24,10.4,-,24,D
Auckland Aero,20140616:0900,17.1,24,8.2,24,5.5,24,12.7,-,24,D
Auckland Aero,20140617:0900,16.6,24,12.6,24,11.9,24,14.6,-,24,D
Auckland Aero,20140618:0900,18.5,24,12.5,24,10.7,24,15.5,-,24,D
Auckland Aero,20140619:0900,16.8,24,11.1,24,8.3,24,14.0,-,24,D
Auckland Aero,20140620:0900,15.0,24,11.4,24,9.2,24,13.2,-,24,D
Auckland Aero,20140621:0900,15.6,24,8.5,24,4.7,24,12.1,-,24,D
Auckland Aero,20140622:0900,16.7,24,11.2,24,9.7,24,14.0,-,24,D
Auckland Aero,20140623:0900,17.4,24,5.4,24,2.9,24,11.4,-,24,D
Auckland Aero,20140624:0900,15.6,24,9.2,24,5.9,24,12.4,-,24,D
Auckland Aero,20140625:0900,17.1,24,13.0,24,12.0,24,15.1,-,24,D
Auckland Aero,20140626:0900,16.8,24,13.6,24,12.3,24,15.2,-,24,D
Auckland Aero,20140627:0900,19.0,24,10.1,24,8.1,24,14.6,-,24,D
Auckland Aero,20140628:0900,15.8,24,9.5,24,9.2,24,12.7,-,24,D
Auckland Aero,20140629:0900,16.0,24,6.2,24,3.6,24,11.1,-,24,D
Auckland Aero,20140630:0900,15.9,24,9.8,24,7.8,24,12.9,-,24,D
Auckland Aero,20140701:0900,16.1,24,9.8,24,8.2,24,13.0,-,24,D
Auckland Aero,20140702:0900,16.0,24,9.4,24,7.9,24,12.7,-,24,D
Auckland Aero,20140703:0900,13.3,24,7.1,24,5.1,24,10.2,-,24,D
Auckland Aero,20140704:0900,13.4,24,6.9,24,4.6,24,10.2,-,24,D
Auckland Aero,20140705:0900,15.0,24,8.3,24,7.5,24,11.7,-,24,D
Auckland Aero,20140706:0900,16.3,24,8.7,24,5.7,24,12.5,-,24,D
Auckland Aero,20140707:0900,15.8,24,10.0,24,7.2,24,12.9,-,24,D
Auckland Aero,20140708:0900,14.7,24,12.0,24,10.3,24,13.4,-,24,D
Auckland Aero,20140709:0900,14.3,24,11.8,24,10.5,24,13.1,-,24,D
Auckland Aero,20140710:0900,15.1,24,12.8,24,11.5,24,14.0,-,24,D
Auckland Aero,20140711:0900,15.7,24,13.9,24,12.6,24,14.8,-,24,D
Auckland Aero,20140712:0900,16.7,24,11.9,24,11.7,24,14.3,-,24,D
Auckland Aero,20140713:0900,13.5,24,8.8,24,7.2,24,11.2,-,24,D
Auckland Aero,20140714:0900,16.2,24,7.1,24,4.7,24,11.7,-,24,D
Auckland Aero,20140715:0900,12.1,24,5.2,24,2.9,24,8.7,-,24,D
Auckland Aero,20140716:0900,14.2,24,3.9,24,-0.2,24,9.1,-,24,D
Auckland Aero,20140717:0900,12.4,24,5.6,24,1.1,24,9.0,-,24,D
Auckland Aero,20140718:0900,12.1,24,2.1,24,-1.5,24,7.1,-,24,D
Auckland Aero,20140719:0900,11.4,24,1.6,24,-2.0,24,6.5,-,24,D
Auckland Aero,20140720:0900,12.9,24,3.8,24,6.6,24,8.4,-,24,D
Auckland Aero,20140721:0900,14.1,24,8.5,24,4.7,24,11.3,-,24,D
Auckland Aero,20140722:0900,14.1,24,4.7,24,1.5,24,9.4,-,24,D
Auckland Aero,20140723:0900,11.6,24,1.6,24,-1.0,24,6.6,-,24,D
Auckland Aero,20140724:0900,14.5,24,4.1,24,1.6,24,9.3,-,24,D
Auckland Aero,20140725:0900,14.0,24,8.7,24,6.2,24,11.4,-,24,D
Auckland Aero,20140726:0900,14.0,24,5.3,24,0.3,24,9.7,-,24,D
Auckland Aero,20140727:0900,13.9,24,8.3,24,6.2,24,11.1,-,24,D
Auckland Aero,20140728:0900,13.4,24,2.4,24,-1.3,24,7.9,-,24,D
Auckland Aero,20140729:0900,14.1,24,4.6,24,1.3,24,9.4,-,24,D
Auckland Aero,20140730:0900,16.2,24,9.1,24,10.3,24,12.7,-,24,D
Auckland Aero,20140731:0900,17.5,24,10.2,24,7.2,24,13.9,-,24,D
Auckland Aero,20140801:0900,18.0,24,8.0,24,4.2,24,13.0,-,24,D
Auckland Aero,20140802:0900,17.0,24,12.4,24,13.4,24,14.7,-,24,D
Auckland Aero,20140803:0900,19.9,24,13.6,24,13.6,24,16.8,-,24,D
Auckland Aero,20140804:0900,15.1,24,6.0,24,2.9,24,10.6,-,24,D
Auckland Aero,20140805:0900,15.0,24,7.9,24,5.6,24,11.5,-,24,D
Auckland Aero,20140806:0900,14.8,24,11.4,24,9.6,24,13.1,-,24,D
Auckland Aero,20140807:0900,14.8,24,10.0,24,5.6,24,12.4,-,24,D
Auckland Aero,20140808:0900,14.5,24,10.5,24,8.0,24,12.5,-,24,D
Auckland Aero,20140809:0900,15.0,24,5.3,24,0.4,24,10.2,-,24,D
Auckland Aero,20140810:0900,12.4,24,4.0,24,0.5,24,8.2,-,24,D
Auckland Aero,20140811:0900,14.3,24,6.1,24,4.0,24,10.2,-,24,D
Auckland Aero,20140812:0900,16.3,24,10.3,24,10.3,24,13.3,-,24,D
Auckland Aero,20140813:0900,14.9,24,7.8,24,5.6,24,11.4,-,24,D
Auckland Aero,20140814:0900,13.6,24,8.3,24,6.8,24,11.0,-,24,D
Auckland Aero,20140815:0900,13.6,24,7.5,24,3.9,24,10.6,-,24,D
Auckland Aero,20140816:0900,13.8,24,10.6,24,8.8,24,12.2,-,24,D
Auckland Aero,20140817:0900,14.5,24,9.7,24,7.2,24,12.1,-,24,D
Auckland Aero,20140818:0900,15.6,24,9.2,24,5.9,24,12.4,-,24,D
Auckland Aero,20140819:0900,14.9,24,8.3,24,6.1,24,11.6,-,24,D
Auckland Aero,20140820:0900,14.9,24,11.4,24,9.3,24,13.2,-,24,D
Auckland Aero,20140821:0900,16.9,24,11.7,24,10.0,24,14.3,-,24,D
Auckland Aero,20140822:0900,15.1,24,4.8,24,0.8,24,10.0,-,24,D
Auckland Aero,20140823:0900,12.7,24,7.3,24,3.0,24,10.0,-,24,D
Auckland Aero,20140824:0900,15.0,24,5.2,24,1.5,24,10.1,-,24,D
Auckland Aero,20140825:0900,15.6,24,3.8,24,0.8,24,9.7,-,24,D
Auckland Aero,20140826:0900,15.0,24,7.0,24,3.9,24,11.0,-,24,D
Auckland Aero,20140827:0900,15.7,24,7.8,24,3.9,24,11.8,-,24,D
Auckland Aero,20140828:0900,14.1,24,8.4,24,4.5,24,11.3,-,24,D
Auckland Aero,20140829:0900,15.3,24,9.1,24,6.6,24,12.2,-,24,D
Auckland Aero,20140830:0900,16.0,24,11.2,24,9.0,24,13.6,-,24,D
Auckland Aero,20140831:0900,14.4,24,10.3,24,9.7,24,12.4,-,24,D
Auckland Aero,20140901:0900,13.7,24,9.3,24,9.0,24,11.5,-,24,D
Auckland Aero,20140902:0900,13.2,24,9.4,24,9.4,24,11.3,-,24,D
Auckland Aero,20140903:0900,17.8,24,9.0,24,7.2,24,13.4,-,24,D
Auckland Aero,20140904:0900,17.2,24,10.4,24,6.9,24,13.8,-,24,D
Auckland Aero,20140905:0900,18.1,24,13.0,24,11.8,24,15.6,-,24,D
Auckland Aero,20140906:0900,18.8,24,12.0,24,10.2,24,15.4,-,24,D
Auckland Aero,20140907:0900,18.1,24,9.5,24,6.6,24,13.8,-,24,D
Auckland Aero,20140908:0900,18.9,24,10.7,24,8.8,24,14.8,-,24,D
Auckland Aero,20140909:0900,16.2,24,7.2,24,4.3,24,11.7,-,24,D
Auckland Aero,20140910:0900,18.0,24,11.2,24,9.9,24,14.6,-,24,D
Auckland Aero,20140911:0900,17.4,24,7.7,24,5.2,24,12.6,-,24,D
Auckland Aero,20140912:0900,17.7,24,11.2,24,8.4,24,14.5,-,24,D
Auckland Aero,20140913:0900,16.1,24,14.0,24,14.0,24,15.1,-,24,D
Auckland Aero,20140914:0900,17.4,24,11.8,24,10.5,24,14.6,-,24,D
Auckland Aero,20140915:0900,15.6,24,11.1,24,8.5,24,13.4,-,24,D
Auckland Aero,20140916:0900,16.8,24,11.0,24,9.5,24,13.9,-,24,D
Auckland Aero,20140917:0900,17.7,24,10.8,24,8.9,24,14.3,-,24,D
Auckland Aero,20140918:0900,16.5,24,7.6,24,6.0,24,12.1,-,24,D
