Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Auckland Aero,20030511:0900,16.8,24,10.5,24,7.1,24,13.7,-,24,D
Auckland Aero,20030512:0900,19.0,24,12.0,24,8.8,24,15.5,-,24,D
Auckland Aero,20030513:0900,17.3,24,7.8,24,3.1,24,12.6,-,24,D
Auckland Aero,20030514:0900,16.9,24,6.5,24,1.4,24,11.7,-,24,D
Auckland Aero,20030515:0900,17.5,24,9.9,24,4.5,24,13.7,-,24,D
Auckland Aero,20030516:0900,18.4,24,6.8,24,1.5,24,12.6,-,24,D
Auckland Aero,20030517:0900,17.2,24,6.6,24,0.7,24,11.9,-,24,D
Auckland Aero,20030518:0900,16.7,24,9.3,24,3.6,24,13.0,-,24,D
Auckland Aero,20030519:0900,18.8,24,14.2,24,11.8,24,16.5,-,24,D
Auckland Aero,20030520:0900,19.2,24,17.6,24,16.3,24,18.4,-,24,D
Auckland Aero,20030521:0900,20.2,24,16.4,24,12.8,24,18.3,-,24,D
Auckland Aero,20030522:0900,20.4,24,15.4,24,12.0,24,17.9,-,24,D
Auckland Aero,20030523:0900,19.4,24,10.7,24,7.6,24,15.1,-,24,D
Auckland Aero,20030524:0900,18.7,24,11.3,24,7.6,24,15.0,-,24,D
Auckland Aero,20030525:0900,16.6,24,11.1,24,7.2,24,13.9,-,24,D
Auckland Aero,20030526:0900,17.9,24,8.3,24,4.1,24,13.1,-,24,D
Auckland Aero,20030527:0900,20.5,24,9.2,24,4.6,24,14.9,-,24,D
Auckland Aero,20030528:0900,16.5,24,6.6,24,1.8,24,11.6,-,24,D
Auckland Aero,20030529:0900,16.4,24,6.4,24,-0.1,24,11.4,-,24,D
Auckland Aero,20030530:0900,16.3,24,9.0,24,9.5,24,12.7,-,24,D
Auckland Aero,20030531:0900,17.5,24,14.1,24,11.7,24,15.8,-,24,D
Auckland Aero,20030601:0900,17.4,24,15.0,24,12.3,24,16.2,-,24,D
Auckland Aero,20030602:0900,16.5,24,13.6,24,9.7,24,15.1,-,24,D
Auckland Aero,20030603:0900,18.5,24,10.1,24,5.6,24,14.3,-,24,D
Auckland Aero,20030604:0900,18.1,24,9.8,24,5.2,24,14.0,-,24,D
Auckland Aero,20030605:0900,17.9,24,12.2,24,12.6,24,15.1,-,24,D
Auckland Aero,20030606:0900,17.5,24,14.9,24,14.3,24,16.2,-,24,D
Auckland Aero,20030607:0900,20.5,24,14.2,24,11.9,24,17.4,-,24,D
Auckland Aero,20030608:0900,18.0,24,9.0,24,-,-,13.5,-,24,D
Auckland Aero,20030609:0900,16.9,24,12.4,24,10.1,24,14.7,-,24,D
Auckland Aero,20030610:0900,17.3,24,12.0,24,10.5,24,14.7,-,24,D
Auckland Aero,20030611:0900,16.8,24,8.0,24,1.5,24,12.4,-,24,D
Auckland Aero,20030612:0900,13.1,24,3.5,24,-0.9,24,8.3,-,24,D
Auckland Aero,20030613:0900,14.3,24,3.7,24,-0.8,24,9.0,-,24,D
Auckland Aero,20030614:0900,14.6,24,3.3,24,-0.2,24,9.0,-,24,D
Auckland Aero,20030615:0900,14.7,24,8.4,24,3.4,24,11.6,-,24,D
Auckland Aero,20030616:0900,15.8,24,11.2,24,9.4,24,13.5,-,24,D
Auckland Aero,20030617:0900,16.3,24,10.1,24,7.8,24,13.2,-,24,D
