
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20220527:2359,6.8,24,D
Auckland, North Shore Albany Ews,20220528:2359,8.1,24,D
Auckland, North Shore Albany Ews,20220529:2359,1.5,24,D
Auckland, North Shore Albany Ews,20220530:2359,1.3,24,D
Auckland, North Shore Albany Ews,20220531:2359,5.6,24,D
Auckland, North Shore Albany Ews,20220601:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220602:2359,1.4,24,D
Auckland, North Shore Albany Ews,20220603:2359,4.7,24,D
Auckland, North Shore Albany Ews,20220604:2359,6.1,24,D
Auckland, North Shore Albany Ews,20220605:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220606:2359,3.4,24,D
Auckland, North Shore Albany Ews,20220607:2359,0.9,24,D
Auckland, North Shore Albany Ews,20220608:2359,5.9,24,D
Auckland, North Shore Albany Ews,20220609:2359,0.7,24,D
Auckland, North Shore Albany Ews,20220610:2359,4.9,24,D
Auckland, North Shore Albany Ews,20220611:2359,5.2,24,D
Auckland, North Shore Albany Ews,20220612:2359,4.1,24,D
Auckland, North Shore Albany Ews,20220613:2359,5.4,24,D
Auckland, North Shore Albany Ews,20220614:2359,5.0,24,D
Auckland, North Shore Albany Ews,20220615:2359,6.0,24,D
Auckland, North Shore Albany Ews,20220616:2359,6.1,24,D
Auckland, North Shore Albany Ews,20220617:2359,2.4,24,D
Auckland, North Shore Albany Ews,20220618:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220619:2359,3.8,24,D
Auckland, North Shore Albany Ews,20220620:2359,1.1,24,D
Auckland, North Shore Albany Ews,20220621:2359,8.0,24,D
Auckland, North Shore Albany Ews,20220622:2359,8.2,24,D
Auckland, North Shore Albany Ews,20220623:2359,6.9,24,D
Auckland, North Shore Albany Ews,20220624:2359,0.9,24,D
Auckland, North Shore Albany Ews,20220625:2359,5.4,24,D
Auckland, North Shore Albany Ews,20220627:2359,7.0,24,D
Auckland, North Shore Albany Ews,20220628:2359,4.8,24,D
Auckland, North Shore Albany Ews,20220629:2359,1.0,24,D
Auckland, North Shore Albany Ews,20220630:2359,3.6,24,D
Auckland, North Shore Albany Ews,20220701:2359,4.5,24,D
Auckland, North Shore Albany Ews,20220702:2359,4.5,24,D
Auckland, North Shore Albany Ews,20220703:2359,6.6,24,D
Auckland, North Shore Albany Ews,20220704:2359,2.5,24,D
Auckland, North Shore Albany Ews,20220705:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220706:2359,0.8,24,D
Auckland, North Shore Albany Ews,20220707:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220708:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220709:2359,7.6,24,D
Auckland, North Shore Albany Ews,20220710:2359,3.3,24,D
Auckland, North Shore Albany Ews,20220711:2359,0.2,24,D
Auckland, North Shore Albany Ews,20220712:2359,2.5,24,D
Auckland, North Shore Albany Ews,20220713:2359,2.9,24,D
Auckland, North Shore Albany Ews,20220714:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220715:2359,8.0,24,D
Auckland, North Shore Albany Ews,20220716:2359,5.8,24,D
Auckland, North Shore Albany Ews,20220717:2359,5.9,24,D
Auckland, North Shore Albany Ews,20220718:2359,1.2,24,D
Auckland, North Shore Albany Ews,20220719:2359,2.8,24,D
Auckland, North Shore Albany Ews,20220720:2359,1.7,24,D
Auckland, North Shore Albany Ews,20220721:2359,5.5,24,D
Auckland, North Shore Albany Ews,20220723:2359,5.1,24,D
Auckland, North Shore Albany Ews,20220724:2359,0.0,24,D
Auckland, North Shore Albany Ews,20220725:2359,0.1,24,D
Auckland, North Shore Albany Ews,20220726:2359,4.2,24,D
Auckland, North Shore Albany Ews,20220727:2359,1.9,24,D
Auckland, North Shore Albany Ews,20220728:2359,3.7,24,D
Auckland, North Shore Albany Ews,20220729:2359,5.5,24,D
Auckland, North Shore Albany Ews,20220730:2359,7.8,24,D
Auckland, North Shore Albany Ews,20220731:2359,6.4,24,D
Auckland, North Shore Albany Ews,20220801:2359,8.4,24,D
